lastfm_url,track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
https://www.youtube.com/watch?v=A3Im3P0--aE,Urike Urike,,"['powerful','happy']",4,5.944851485,5.033465347,5.305643564,ddd528e5-e1cf-4a7d-afea-eaadf7452dbb,,pop
https://www.youtube.com/watch?v=bqbWbSJpkfI,Yahoon Yahoon,,"['happy','introspective']",4,3.01,3.33,3.5325,0,6BNjIUdJpAelOrt5AZUayU,hip-hop
https://www.youtube.com/watch?v=0YYb7WLemCM,Happy Title,,"['happy','airy']",4,4.876666667,2.73,4.036666667,,,shoegaze
https://www.youtube.com/watch?v=4I9jmw2XNuI,Jill Jill Jinga,,"['positive', 'thrilling','happy']",5,6.6325,5.0375,5.7475,001a2306-47fd-4b44-9af8-76c2d80ef455,0OoN8IkgErrAAihOSjeEaZ,indietronica
https://www.youtube.com/watch?v=q4vGO-hmDBQ,Happy Happyse,,"['quiet','fearful']",1,6.47,1.95,5.8,16b2e522-bdee-4df7-a88a-a22710410a9c,5cPCxy4tHNrjTjWzZU3Fk9,
https://www.youtube.com/watch?v=Fa4COn3sPDY,Rock on Bro,,"['happy','monumental']",5,5.198,4.242,4.828,72245392-53b1-4205-b164-d17d7054e6c7,4KbQ7iic7ezgnLoeTBFIJY,progressive metal
https://www.youtube.com/watch?v=-7DEJVJG0pc,Sweety Sweety,,"['happy','bitter']",3,6.513333333,5.176666667,6.123333333,d451d5eb-2bb5-41eb-943f-8a4ec6aa584a,61cY109PJlAwfuEq0ZVyMC,hardcore
https://www.youtube.com/watch?v=t_aO4EMP-i0,Gundellonaa,,"['intense', 'energetic','happy']",3,6.667065217,5.556521739,5.893804348,b270f744-c775-4353-9deb-3f492c9c71ff,0tFF03AX223mZHNmMhnBvQ,rock
https://www.youtube.com/watch?v=nu4bFQwFt-s,Family Party,,"['happy','lyrical']",5,4.05,3.506,3.874,,,sad
https://www.youtube.com/watch?v=DiLhGaRvbmw,Jalsa Title,,"['happy','introspective']",4,3.01,3.33,3.5325,0,6BNjIUdJpAelOrt5AZUayU,hip-hop
https://www.youtube.com/watch?v=kiuVtSg4DS8,Dhaari choodu,,"['happy','airy']",4,4.876666667,2.73,4.036666667,,,shoegaze
https://www.youtube.com/watch?v=A56mZxSXKn8,I Wanna Fly,,"['positive', 'thrilling','happy']",5,6.6325,5.0375,5.7475,001a2306-47fd-4b44-9af8-76c2d80ef455,0OoN8IkgErrAAihOSjeEaZ,indietronica
https://www.youtube.com/watch?v=q4vGO-hmDBQ,Love You zindagi,,"['happy','bright']",6,7.096666667,4.35,6.486666667,41534734-71a0-4d84-8e05-28ac96b56946,2eSEMvEnjGInbu1qFopMuQ,soul
https://www.youtube.com/watch?v=6vKucgAeF_Q,Matargashti,,"['happy','monumental']",5,5.198,4.242,4.828,72245392-53b1-4205-b164-d17d7054e6c7,4KbQ7iic7ezgnLoeTBFIJY,progressive metal
https://www.youtube.com/watch?v=8LZgzAZ2lpQ,Abhi Toh Party Shuru Hui Hai,,"['happy','bitter']",3,6.513333333,5.176666667,6.123333333,d451d5eb-2bb5-41eb-943f-8a4ec6aa584a,61cY109PJlAwfuEq0ZVyMC,hardcore
https://www.youtube.com/watch?v=0WtRNGubWGA,Balam pichkari,,"['intense', 'energetic','happy']",3,6.667065217,5.556521739,5.893804348,b270f744-c775-4353-9deb-3f492c9c71ff,0tFF03AX223mZHNmMhnBvQ,rock
